Sl_No,Site Size,Type,Layout Details,Site_No,E to W,N to S,Total_Area (in sq.m),Lat,Long,Lat,Long,Google Maps Link,Layout,Block,Village,Survey.No.,"Contact Number - Site Information Coordinator
9am-5pm on working days",Rate Per Sq.Mtr in Rs.,Rate per sq.ft in Rs.,Total Area (in sq ft),Total Minimum Bid Price 
53,Odd,Corner,"Banashenkari 6th Stage, 5th Block, Lingadeeranahalli",803,12,(8.70+9.40)/2,108.6,12.87661,77.509901,12.87661,77.509901,"https://www.google.com/maps?q=12.87661,77.509901",BANASHNKARI 6TH STAGE,5th,Lingadeeranahalli,20,8147799282,69300,6438,#REF!,#REF!
54,Regular,Corner,"Banashenkari 6th Stage, 3rd  Block, Hemmigepura",1812,(9.00+9.00)/2,12,108,12.886779,77.512412,12.886779,77.512412,"https://www.google.com/maps?q=12.886779,77.512412",BANASHNKARI 6TH STAGE,3rd,Hemmigepura,89,8147799282,74500,6921,#REF!,#REF!
55,Regular,Corner,"Banashenkari 6th Stage, 3rd  Block, Hemmigepura",1813,(6.40+6.40)/2,12,76.8,12.886767,77.512265,12.886767,77.512265,"https://www.google.com/maps?q=12.886767,77.512265",BANASHNKARI 6TH STAGE,3rd,Hemmigepura,89,8147799282,74500,6921,#REF!,#REF!
56,Regular,Corner,"Banashenkari 6th Stage, 3rd  Block, Hemmigepura",1842,(6.40+6.00)/2,12,74.4,12.886877,77.512259,12.886877,77.512259,"https://www.google.com/maps?q=12.886877,77.512259",BANASHNKARI 6TH STAGE,3rd,Hemmigepura,89,8147799282,74500,6921,#REF!,#REF!
57,Regular,Corner,"Banashenkari 6th Stage, 3rd  Block, Hemmigepura",1843,(9.00+9.00)/2,12,108,12.886889,77.512408,12.886889,77.512408,"https://www.google.com/maps?q=12.886889,77.512408",BANASHNKARI 6TH STAGE,3rd,Hemmigepura,89,8147799282,74500,6921,#REF!,#REF!
58,Odd,Corner,"Banashenkari 6th Stage, 6th  Block, Sompura",1175,18,(16.5+9.8)/2,236.7,12.876651,77.498598,12.876651,77.498598,"https://www.google.com/maps?q=12.876651,77.498598",BANASHANKARI 6TH STAGE,6th,Sompura,1,9844916955,72650,6749,#REF!,#REF!
59,Regular,Corner,"Banashenkari 6th Stage, 6th  Block, Sompura",1463,17.5,12,210,12.876645,77.506163,12.876645,77.506163,"https://www.google.com/maps?q=12.876645,77.506163",BANASHANKARI 6TH STAGE,6th,Sompura,18,9844916955,72650,6749,#REF!,#REF!
60,Regular,Corner,"Banashenkari 6th Stage, 6th  Block, Sompura",1561,12,8,96,12.877834,77.50356,12.877834,77.50356,"https://www.google.com/maps?q=12.877834,77.50356",BANASHANKARI 6TH STAGE,6th,Sompura,17,9844916955,72650,6749,#REF!,#REF!
61,Odd,Corner,"Banashenkari 6th Stage, 7th  Block, Sompura",1391,12,(17.0+25.0)/2,252,12.881953,77.496373,12.881953,77.496373,"https://www.google.com/maps?q=12.881953,77.496373",BANASHANKARI 6TH STAGE,7th,Sompura,29,9844916955,63000,5853,#REF!,#REF!
62,Odd,Corner,"Banashenkari 6th Stage, 7th  Block, Sompura",1542,18,(11.4+11)/2,201.6,12.884383,77.497747,12.884383,77.497747,"https://www.google.com/maps?q=12.884383,77.497747",BANASHANKARI 6TH STAGE,7th,Sompura,29,9844916955,63000,5853,#REF!,#REF!
